City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date,Median_Taxes,Median_Typical_Home_Value,AnnualAverageRate15Year,15yr_Payment_10_Perc_Down,15yr_Payment_20_Perc_Down,AnnualAverageRate30Year,30yr_Payment_10_Perc_Down,30yr_Payment_20_Perc_Down
12,Florida,FL,Jacksonville,1/1/2021,10029,245425.0,2.27,1449.025437541836,1288.022611148299,2.96,926.4912117703117,823.5477437958327
13,Texas,TX,Fort Worth,1/1/2011,3264,117898.0,3.68,767.9629652475068,682.6337468866728,4.45,534.4869098869442,475.09947545506157
13,Texas,TX,Fort Worth,1/1/2012,3157,119160.5,2.93,737.0053149563078,655.1158355167181,3.66,491.2047936798089,436.6264832709413
13,Texas,TX,Fort Worth,1/1/2013,3378,125279.5,3.11,784.6203826274592,697.4403401132971,3.98,536.9939036462117,477.3279143521883
13,Texas,TX,Fort Worth,1/1/2014,3434,135146.5,3.29,857.0356213515777,761.8094412014024,4.17,592.6728360421093,526.8202987040972
13,Texas,TX,Fort Worth,1/1/2015,3552,147109.0,3.09,920.0587398276446,817.8299909579063,3.85,620.6931921295941,551.7272818929725
13,Texas,TX,Fort Worth,1/1/2016,3723,162457.5,2.93,1004.7963960751624,893.1523520668109,3.65,668.8596294884082,594.5418928785851
13,Texas,TX,Fort Worth,1/1/2017,3849,180216.0,3.28,1142.055770694324,1015.1606850616214,3.99,773.4060947348,687.4720842087113
13,Texas,TX,Fort Worth,1/1/2018,4305,198376.0,4.0,1320.626987375959,1173.8906554452972,4.54,908.8761301454497,807.8898934626221
13,Texas,TX,Fort Worth,1/1/2019,4953,208476.0,3.39,1331.2101973913784,1183.297953236781,3.94,889.2886424611014,790.4787932987568
13,Texas,TX,Fort Worth,1/1/2020,2458,217147.5,2.61,1313.2684716083004,1167.3497525407115,3.11,835.5917470321727,742.7482195841536
13,Texas,TX,Fort Worth,1/1/2021,4370,258910.0,2.27,1528.6428686317888,1358.7936610060344,2.96,977.3977371476068,868.7979885756506
14,Ohio,OH,Columbus,1/1/2011,2498,113589.5,3.68,739.8982954840767,657.6873737636237,4.45,514.9544593682933,457.73729721626074
14,Ohio,OH,Columbus,1/1/2012,2579,106262.5,2.93,657.2314423029834,584.2057264915409,3.66,438.0365086450686,389.3657854622832
14,Ohio,OH,Columbus,1/1/2013,2520,108055.0,3.11,676.7440438763733,601.5502612234429,3.98,463.1633767575015,411.7007793400013
14,Ohio,OH,Columbus,1/1/2014,2639,114738.0,3.29,727.6145007280048,646.7684450915599,4.17,503.17319251182636,447.26506001051234
14,Ohio,OH,Columbus,1/1/2015,2737,122822.0,3.09,768.1613942254447,682.8101282003953,3.85,518.2196823018375,460.63971760163327
14,Ohio,OH,Columbus,1/1/2016,2753,131862.0,2.93,815.5638390302882,724.9456346935896,3.65,542.8937935373897,482.5722609221242
14,Ohio,OH,Columbus,1/1/2017,2879,145376.5,3.28,921.2726436517478,818.9090165793315,3.99,623.8906153239094,554.569435843475
14,Ohio,OH,Columbus,1/1/2018,2880,158895.5,4.0,1057.7977450528126,940.2646622691666,4.54,727.9929383470094,647.1048340862305
14,Ohio,OH,Columbus,1/1/2019,2876,173569.0,3.39,1108.3137759311585,985.1678008276964,3.94,740.3870967561298,658.1218637832266
14,Ohio,OH,Columbus,1/1/2020,2036,187836.0,2.61,1135.997866118729,1009.7758809944258,3.11,722.7999926111753,642.4888823210449
14,Ohio,OH,Columbus,1/1/2021,2742,222232.5,2.27,1312.0934931181262,1166.3053272161121,2.96,838.9384057033546,745.7230272918708
15,Indiana,IN,Indianapolis,1/1/2011,1291,98012.0,3.68,638.4297116985754,567.4930770654003,4.45,444.3343484354202,394.96386527592915
15,Indiana,IN,Indianapolis,1/1/2012,1263,98261.5,2.93,607.7454169425208,540.2181483933517,3.66,405.0546937464054,360.0486166634715
15,Indiana,IN,Indianapolis,1/1/2013,1249,101841.5,3.11,637.8291476047909,566.9592423153697,3.98,436.5300359451121,388.0266986178775
15,Indiana,IN,Indianapolis,1/1/2014,1287,112446.5,3.29,713.0828841021422,633.8514525352376,4.17,493.1240250987562,438.33246675444997
15,Indiana,IN,Indianapolis,1/1/2015,1326,112882.0,3.09,705.993995399494,627.5502181328835,3.85,476.2800978456304,423.36008697389366
